epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,416.741,0.95868,0.75307,1.23563,0.8199,0.98,0.86699,0.51184,1.34684,0.98658,1.46385,0.0011684,0.0011684,0.0011684
44,426.498,1.0108,0.75541,1.28239,0.81177,0.98,0.88392,0.48435,1.39678,0.99,1.53965,0.0011486,0.0011486,0.0011486
45,436.085,0.97468,0.77891,1.28509,0.81327,1,0.86073,0.48527,1.39605,0.9482,1.48579,0.0011288,0.0011288,0.0011288
46,445.809,0.98111,0.74235,1.25103,0.79895,0.96,0.82786,0.49427,1.34278,0.91096,1.39839,0.001109,0.001109,0.001109
47,455.435,0.96615,0.75241,1.24771,0.79895,0.96,0.82786,0.49427,1.34278,0.91096,1.39839,0.0010892,0.0010892,0.0010892
48,465.211,0.9773,0.74792,1.21856,0.77997,0.94,0.83086,0.49772,1.33319,0.9178,1.39704,0.0010694,0.0010694,0.0010694
49,474.947,0.99374,0.75961,1.22986,0.73925,0.92,0.8079,0.49317,1.32549,0.97081,1.40407,0.0010496,0.0010496,0.0010496
50,484.679,0.95884,0.70533,1.23576,0.68574,0.96,0.77505,0.47965,1.2949,1.03661,1.39291,0.0010298,0.0010298,0.0010298
51,494.315,0.92081,0.71593,1.21943,0.68574,0.96,0.77505,0.47965,1.2949,1.03661,1.39291,0.00101,0.00101,0.00101
52,503.834,0.94396,0.77933,1.28047,0.67708,0.92258,0.77978,0.49046,1.31978,1.07321,1.40117,0.0009902,0.0009902,0.0009902
53,513.476,0.93108,0.70467,1.20826,0.7234,0.94156,0.79366,0.50893,1.31587,1.01398,1.38016,0.0009704,0.0009704,0.0009704
54,523.101,0.90581,0.69092,1.18976,0.76509,0.91203,0.83178,0.54443,1.29513,0.90695,1.37232,0.0009506,0.0009506,0.0009506
55,532.875,0.90606,0.704,1.19883,0.76509,0.91203,0.83178,0.54443,1.29513,0.90695,1.37232,0.0009308,0.0009308,0.0009308
56,542.637,0.88291,0.68916,1.20552,0.79492,0.93038,0.89388,0.57372,1.31412,0.85852,1.41579,0.000911,0.000911,0.000911
57,552.359,0.87227,0.68713,1.15143,0.83119,0.88,0.91049,0.57312,1.30028,0.87152,1.43365,0.0008912,0.0008912,0.0008912
58,561.995,0.87764,0.67853,1.20442,0.814,0.9,0.9057,0.57368,1.32581,0.88819,1.4444,0.0008714,0.0008714,0.0008714
59,571.614,0.88612,0.67998,1.1623,0.814,0.9,0.9057,0.57368,1.32581,0.88819,1.4444,0.0008516,0.0008516,0.0008516
60,581.219,0.89609,0.67717,1.20334,0.79091,0.96,0.87992,0.56958,1.29648,0.88841,1.40621,0.0008318,0.0008318,0.0008318
61,590.891,0.85514,0.65736,1.16453,0.79227,0.96,0.85713,0.53315,1.30473,0.90756,1.43389,0.000812,0.000812,0.000812
62,600.687,0.87101,0.68072,1.18457,0.77119,0.94,0.79284,0.48338,1.35748,0.92823,1.47246,0.0007922,0.0007922,0.0007922
63,610.309,0.83511,0.64385,1.18807,0.77119,0.94,0.79284,0.48338,1.35748,0.92823,1.47246,0.0007724,0.0007724,0.0007724
64,619.951,0.83468,0.67343,1.17322,0.75682,0.94,0.77213,0.45825,1.32693,0.94649,1.43439,0.0007526,0.0007526,0.0007526
65,629.692,0.86128,0.62896,1.12973,0.76437,0.90838,0.76033,0.46011,1.30046,0.94976,1.39554,0.0007328,0.0007328,0.0007328
66,639.245,0.82992,0.63962,1.16798,0.72137,0.92,0.74488,0.43916,1.35204,0.9751,1.4532,0.000713,0.000713,0.000713
67,648.879,0.8482,0.63488,1.12447,0.72137,0.92,0.74488,0.43916,1.35204,0.9751,1.4532,0.0006932,0.0006932,0.0006932
