epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4981,3.25771,3.33001,4.17294,0.01833,0.44,0.01322,0.00596,2.47682,3.36888,4.15896,0.0001,0.0001,0.0001
2,22.2425,3.14835,3.22812,4.15569,0.01833,0.44,0.01407,0.00625,2.47726,3.36021,4.1573,0.000217822,0.000217822,0.000217822
3,32.8704,3.13756,3.14879,4.12621,0.0175,0.42,0.01314,0.00593,2.47849,3.34073,4.15286,0.000333268,0.000333268,0.000333268
4,43.3101,3.09815,2.95573,4.08359,0.01833,0.44,0.0162,0.0074,2.47995,3.31754,4.14716,0.000446338,0.000446338,0.000446338
5,54.0424,3.11504,2.85863,4.03901,0.01917,0.46,0.01655,0.00684,2.48236,3.27504,4.13499,0.000557032,0.000557032,0.000557032
6,64.7574,3.04114,2.73518,3.96831,0.01917,0.46,0.02054,0.00719,2.4876,3.21932,4.11534,0.00066535,0.00066535,0.00066535
7,75.621,3.01619,2.73044,3.92971,0.01917,0.46,0.01849,0.00721,2.49859,3.13873,4.08171,0.000771292,0.000771292,0.000771292
8,86.0331,2.91431,2.61802,3.85598,0.01917,0.46,0.01774,0.00643,2.50725,3.10151,4.06209,0.000874858,0.000874858,0.000874858
9,96.4011,3.06811,2.57607,3.8163,0.01917,0.46,0.01863,0.00702,2.51642,3.06645,4.04258,0.000976048,0.000976048,0.000976048
10,106.833,2.96217,2.56717,3.78201,0.01917,0.46,0.02673,0.00729,2.53152,3.0122,3.97253,0.00107486,0.00107486,0.00107486
11,117.067,2.9584,2.39768,3.68525,0.02,0.48,0.01937,0.00651,2.55993,2.95407,3.93906,0.0011713,0.0011713,0.0011713
12,127.515,2.90006,2.47274,3.68321,0.02,0.48,0.02568,0.00705,2.553,2.97092,3.90264,0.00126536,0.00126536,0.00126536
13,137.863,2.85258,2.37737,3.60776,0.02959,0.2,0.04563,0.00891,2.58754,3.11185,3.8229,0.00135705,0.00135705,0.00135705
14,148.214,2.92195,2.3915,3.58556,0.0282,0.18,0.02508,0.00677,2.60065,3.31344,3.79431,0.00144636,0.00144636,0.00144636
15,158.803,2.83234,2.42026,3.54207,0.0282,0.18,0.02508,0.00677,2.60065,3.31344,3.79431,0.00153329,0.00153329,0.00153329
