epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,169.061,2.77181,2.3679,3.43775,0.02611,0.34,0.02737,0.00687,2.63122,2.95385,3.73388,0.00161785,0.00161785,0.00161785
17,179.604,2.91657,2.37947,3.44805,0.02858,0.18,0.03268,0.00739,2.64977,3.1239,3.69697,0.0016832,0.0016832,0.0016832
18,189.966,2.80009,2.37603,3.38858,0.02417,0.58,0.02916,0.00728,2.67038,2.9558,3.72779,0.0016634,0.0016634,0.0016634
19,200.143,2.6686,2.35379,3.33468,0.02417,0.58,0.02916,0.00728,2.67038,2.9558,3.72779,0.0016436,0.0016436,0.0016436
20,210.451,2.70163,2.26757,3.25742,0.02771,0.12,0.0345,0.00823,2.6939,2.92729,3.68616,0.0016238,0.0016238,0.0016238
21,220.954,2.61403,2.32578,3.2544,0.03349,0.14,0.03746,0.00838,2.66557,3.08831,3.64279,0.001604,0.001604,0.001604
22,231.235,2.61466,2.3018,3.22081,0.0262,0.1,0.02248,0.00704,2.48965,3.32608,3.65107,0.0015842,0.0015842,0.0015842
23,241.561,2.49616,2.23732,3.09617,0.0262,0.1,0.02248,0.00704,2.48965,3.32608,3.65107,0.0015644,0.0015644,0.0015644
24,251.671,2.54001,2.27895,3.14631,0.07813,0.04,0.03088,0.00984,2.44183,3.2806,3.63453,0.0015446,0.0015446,0.0015446
25,261.909,2.59566,2.30133,3.1489,0.10799,0.04,0.03037,0.00929,2.44895,3.71094,3.52952,0.0015248,0.0015248,0.0015248
26,272.416,2.51816,2.22817,3.05474,0.11373,0.04,0.03327,0.00877,2.45533,3.45051,3.50545,0.001505,0.001505,0.001505
27,282.609,2.41547,2.2602,3.03311,0.11373,0.04,0.03327,0.00877,2.45533,3.45051,3.50545,0.0014852,0.0014852,0.0014852
28,292.946,2.55236,2.19332,3.05877,0.23874,0.06,0.04698,0.0118,2.42654,3.31341,3.52858,0.0014654,0.0014654,0.0014654
29,303.222,2.43884,2.23274,3.04505,0.02,0.48,0.02667,0.00847,2.40755,3.17155,3.53152,0.0014456,0.0014456,0.0014456
30,313.732,2.41244,2.15091,2.98016,0.19796,0.2,0.08667,0.0268,2.36464,3.05089,3.43207,0.0014258,0.0014258,0.0014258
31,323.971,2.37694,2.16666,2.94151,0.19796,0.2,0.08667,0.0268,2.36464,3.05089,3.43207,0.001406,0.001406,0.001406
32,334.046,2.41475,2.18369,2.94359,0.27079,0.28,0.13958,0.04459,2.34448,2.7989,3.32952,0.0013862,0.0013862,0.0013862
33,344.748,2.3549,2.1667,2.9458,0.46387,0.22,0.20003,0.07102,2.33125,2.62804,3.24198,0.0013664,0.0013664,0.0013664
34,355.233,2.37926,2.17224,2.90351,0.39336,0.2,0.19294,0.06989,2.30984,2.57551,3.16122,0.0013466,0.0013466,0.0013466
35,365.681,2.35433,2.1813,2.91145,0.39336,0.2,0.19294,0.06989,2.30984,2.57551,3.16122,0.0013268,0.0013268,0.0013268
36,376.287,2.31779,2.18059,2.8971,0.34089,0.24,0.23891,0.07588,2.23657,2.48554,2.99886,0.001307,0.001307,0.001307
37,387.541,2.3379,2.17232,2.83017,0.41206,0.32,0.31269,0.10949,2.09836,2.38933,2.82794,0.0012872,0.0012872,0.0012872
38,398.483,2.3292,2.11074,2.85004,0.30985,0.44,0.32618,0.12255,2.10207,2.34158,2.75843,0.0012674,0.0012674,0.0012674
39,409.113,2.32933,2.12854,2.83376,0.30985,0.44,0.32618,0.12255,2.10207,2.34158,2.75843,0.0012476,0.0012476,0.0012476
40,419.558,2.26255,2.166,2.81459,0.34698,0.42,0.37645,0.14847,2.1088,2.24782,2.7344,0.0012278,0.0012278,0.0012278
41,430.047,2.23202,2.05046,2.75775,0.54442,0.46,0.50516,0.19578,2.14505,2.29195,2.76254,0.001208,0.001208,0.001208
42,440.595,2.26276,2.09678,2.7736,0.60151,0.39261,0.48921,0.18798,2.10883,2.45007,2.81381,0.0011882,0.0011882,0.0011882
43,451.177,2.21733,2.08002,2.75713,0.60151,0.39261,0.48921,0.18798,2.10883,2.45007,2.81381,0.0011684,0.0011684,0.0011684
44,461.849,2.2604,2.08228,2.73403,0.67817,0.4,0.49999,0.1763,2.09606,2.44718,2.82139,0.0011486,0.0011486,0.0011486
45,472.296,2.19868,2.06567,2.7495,0.65244,0.54,0.56345,0.19789,2.07232,2.32014,2.73982,0.0011288,0.0011288,0.0011288
46,482.849,2.21366,2.00632,2.73318,0.6376,0.56306,0.59039,0.23282,2.0557,2.15257,2.69118,0.001109,0.001109,0.001109
47,493.542,2.19635,2.0622,2.71522,0.6376,0.56306,0.59039,0.23282,2.0557,2.15257,2.69118,0.0010892,0.0010892,0.0010892
48,504.531,2.21882,2.00289,2.71654,0.62659,0.54,0.5626,0.21344,2.09897,2.16953,2.75296,0.0010694,0.0010694,0.0010694
49,515.655,2.18767,2.02632,2.71685,0.69796,0.48,0.578,0.22269,2.12999,2.12736,2.75247,0.0010496,0.0010496,0.0010496
50,526.264,2.11354,2.01716,2.67362,0.77043,0.46999,0.59186,0.24738,2.13736,2.1262,2.70617,0.0010298,0.0010298,0.0010298
51,536.797,2.10786,2.01458,2.65112,0.77043,0.46999,0.59186,0.24738,2.13736,2.1262,2.70617,0.00101,0.00101,0.00101
52,547.228,2.12113,2.05378,2.64624,0.71482,0.48,0.55266,0.22944,2.05813,2.22974,2.64371,0.0009902,0.0009902,0.0009902
53,557.822,2.08644,1.97692,2.60424,0.65024,0.48,0.51866,0.22947,1.97106,2.29104,2.64167,0.0009704,0.0009704,0.0009704
54,568.258,2.05209,1.96224,2.64273,0.52339,0.5,0.48955,0.2209,1.93328,2.24154,2.64367,0.0009506,0.0009506,0.0009506
55,579.024,2.10643,1.94097,2.60167,0.52339,0.5,0.48955,0.2209,1.93328,2.24154,2.64367,0.0009308,0.0009308,0.0009308
56,589.562,2.06466,1.99415,2.61323,0.64452,0.61651,0.58016,0.23576,1.93503,2.18607,2.61022,0.000911,0.000911,0.000911
57,600.143,2.11706,1.96185,2.60025,0.73489,0.56,0.64266,0.26751,1.93639,2.12061,2.56055,0.0008912,0.0008912,0.0008912
58,610.871,2.01099,1.90519,2.53698,0.70707,0.48284,0.63788,0.2874,1.95851,2.03119,2.51974,0.0008714,0.0008714,0.0008714
59,621.476,2.10151,1.90741,2.55801,0.70707,0.48284,0.63788,0.2874,1.95851,2.03119,2.51974,0.0008516,0.0008516,0.0008516
60,631.961,2.02449,1.91221,2.5725,0.72265,0.48,0.59458,0.27718,1.97856,1.96492,2.52374,0.0008318,0.0008318,0.0008318
61,642.454,2.06019,1.91818,2.53632,0.64943,0.54,0.60914,0.28905,1.90584,1.92957,2.44679,0.000812,0.000812,0.000812
62,653.27,2.08021,1.90595,2.55074,0.66975,0.60852,0.65334,0.29987,1.88497,1.90869,2.4138,0.0007922,0.0007922,0.0007922
63,663.813,1.9614,1.86269,2.50381,0.66975,0.60852,0.65334,0.29987,1.88497,1.90869,2.4138,0.0007724,0.0007724,0.0007724
64,674.331,1.97165,1.86651,2.48907,0.71505,0.60231,0.6803,0.31487,1.86867,1.90355,2.37357,0.0007526,0.0007526,0.0007526
65,685.148,2.02745,1.7802,2.48446,0.7511,0.6,0.68598,0.31544,1.85623,1.9112,2.34163,0.0007328,0.0007328,0.0007328
66,695.767,1.93615,1.82233,2.47302,0.79215,0.56,0.69214,0.31294,1.81526,1.9237,2.3102,0.000713,0.000713,0.000713
67,706.213,1.96371,1.78971,2.45948,0.79215,0.56,0.69214,0.31294,1.81526,1.9237,2.3102,0.0006932,0.0006932,0.0006932
68,716.989,1.96053,1.79787,2.45177,0.71135,0.59158,0.68926,0.32063,1.7938,1.87695,2.2919,0.0006734,0.0006734,0.0006734
69,727.892,1.8822,1.72141,2.40927,0.63326,0.66,0.71141,0.33483,1.75946,1.86634,2.29216,0.0006536,0.0006536,0.0006536
70,738.714,1.96684,1.81537,2.46275,0.86864,0.56,0.7227,0.3043,1.80721,1.99349,2.37062,0.0006338,0.0006338,0.0006338
71,749.206,1.95562,1.79321,2.46036,0.86864,0.56,0.7227,0.3043,1.80721,1.99349,2.37062,0.000614,0.000614,0.000614
72,759.697,1.95075,1.79865,2.45977,0.7204,0.6,0.73113,0.2887,1.8513,2.00634,2.40528,0.0005942,0.0005942,0.0005942
73,770.238,1.89602,1.79036,2.44171,0.76948,0.60085,0.74741,0.32239,1.81591,1.85331,2.32069,0.0005744,0.0005744,0.0005744
74,780.935,2.02249,1.79881,2.45892,0.74078,0.62881,0.69259,0.33731,1.84694,1.93675,2.36653,0.0005546,0.0005546,0.0005546
75,791.731,1.92879,1.75708,2.42069,0.74078,0.62881,0.69259,0.33731,1.84694,1.93675,2.36653,0.0005348,0.0005348,0.0005348
76,802.71,1.90737,1.70797,2.41348,0.78138,0.64341,0.67365,0.2918,1.91036,2.0193,2.44805,0.000515,0.000515,0.000515
77,813.539,1.94617,1.78416,2.46363,0.82045,0.63972,0.67285,0.29909,1.88162,1.96288,2.4415,0.0004952,0.0004952,0.0004952
78,824.524,1.89065,1.7294,2.37953,0.81392,0.6125,0.71418,0.31863,1.88196,1.89023,2.40778,0.0004754,0.0004754,0.0004754
79,835.291,1.90862,1.69985,2.42676,0.81392,0.6125,0.71418,0.31863,1.88196,1.89023,2.40778,0.0004556,0.0004556,0.0004556
80,846.036,1.89089,1.69683,2.38006,0.77718,0.6,0.70056,0.33175,1.87354,1.86025,2.36874,0.0004358,0.0004358,0.0004358
81,856.465,1.90329,1.7354,2.39681,0.90511,0.57248,0.71811,0.34325,1.85243,1.84643,2.35515,0.000416,0.000416,0.000416
82,867.081,1.85672,1.75493,2.39067,0.85914,0.61004,0.72996,0.36119,1.80285,1.8209,2.32758,0.0003962,0.0003962,0.0003962
83,877.542,1.88176,1.70328,2.36786,0.85914,0.61004,0.72996,0.36119,1.80285,1.8209,2.32758,0.0003764,0.0003764,0.0003764
84,888.035,1.85072,1.65438,2.36279,0.81748,0.68,0.73604,0.35936,1.7542,1.76709,2.28872,0.0003566,0.0003566,0.0003566
85,898.717,1.91888,1.64643,2.33919,0.80985,0.68149,0.7776,0.38662,1.71824,1.70513,2.25082,0.0003368,0.0003368,0.0003368
86,909.258,1.89769,1.66804,2.34657,0.80992,0.68178,0.75092,0.38591,1.71294,1.69892,2.23822,0.000317,0.000317,0.000317
87,919.832,1.91382,1.72477,2.38711,0.80992,0.68178,0.75092,0.38591,1.71294,1.69892,2.23822,0.0002972,0.0002972,0.0002972
88,930.379,1.82671,1.64258,2.35444,0.82164,0.72,0.7624,0.38077,1.70876,1.68903,2.23294,0.0002774,0.0002774,0.0002774
89,941.031,1.8225,1.68474,2.35036,0.81875,0.74,0.79292,0.39321,1.67849,1.66455,2.19867,0.0002576,0.0002576,0.0002576
90,951.518,1.86133,1.75466,2.36087,0.80256,0.73176,0.79116,0.39056,1.6656,1.66059,2.15974,0.0002378,0.0002378,0.0002378
91,961.965,1.94008,1.95319,2.4481,0.80256,0.73176,0.79116,0.39056,1.6656,1.66059,2.15974,0.000218,0.000218,0.000218
92,972.257,1.83316,1.92178,2.43741,0.77893,0.76,0.80681,0.40098,1.68059,1.66564,2.15052,0.0001982,0.0001982,0.0001982
93,982.514,1.7619,1.845,2.32315,0.85063,0.68343,0.82181,0.38783,1.72671,1.69714,2.18554,0.0001784,0.0001784,0.0001784
94,992.768,1.72611,1.81695,2.31354,0.77106,0.74098,0.84273,0.35613,1.79878,1.75099,2.26047,0.0001586,0.0001586,0.0001586
95,1002.97,1.75523,1.76992,2.30598,0.77106,0.74098,0.84273,0.35613,1.79878,1.75099,2.26047,0.0001388,0.0001388,0.0001388
96,1013.19,1.78745,1.90551,2.38304,0.73764,0.82,0.84749,0.34981,1.82993,1.79005,2.29605,0.000119,0.000119,0.000119
97,1023.5,1.7338,1.84241,2.36452,0.76243,0.83449,0.83647,0.35344,1.79492,1.79678,2.2773,9.92e-05,9.92e-05,9.92e-05
98,1033.71,1.65761,1.82499,2.31843,0.74164,0.80383,0.83494,0.36275,1.75883,1.80855,2.24681,7.94e-05,7.94e-05,7.94e-05
99,1044,1.72398,1.81573,2.33383,0.74164,0.80383,0.83494,0.36275,1.75883,1.80855,2.24681,5.96e-05,5.96e-05,5.96e-05
100,1054.45,1.72314,1.78681,2.33955,0.73754,0.7869,0.84327,0.37925,1.73123,1.81367,2.21603,3.98e-05,3.98e-05,3.98e-05
